Formula,True,Predicted,Absolute Error
In1 Sb1,0.17000000178813934,0.1697615385055542,0.00023846328258514404
Ga1 P1,2.259999990463257,2.2398884296417236,0.020111560821533203
Si4 C4,2.359999895095825,2.3035049438476562,0.056494951248168945
Ga1 Sb1,0.7260000109672546,0.7470936179161072,0.02109360694885254
In1 As1,0.3540000021457672,0.37249886989593506,0.018498867750167847
In1 P1,1.340000033378601,1.3083555698394775,0.031644463539123535
Ge2,0.6610000133514404,0.6290138363838196,0.03198617696762085
Ga1 N1,3.200000047683716,2.710407257080078,0.4895927906036377
Ga1 As1,1.4199999570846558,1.4337728023529053,0.013772845268249512
In2 N2,1.9700000286102295,1.9376477003097534,0.032352328300476074
